telemetry_id,asset_id,date,day_index,health_index,wear_metric,daily_gmt,temp_c,rainfall_mm,days_since_inspection,days_since_maintenance,deferred_count,speed_restriction_active
TEL-500001,AST-TRK-1001,2026-03-21,1,95.1,0.84,53.3,33.0,0.0,18,16,0,0
TEL-500002,AST-TRK-1002,2026-03-21,1,92.1,1.23,33.3,33.0,0.0,11,8,0,0
TEL-500003,AST-SIG-1003,2026-03-21,1,92.3,0.91,55.5,33.0,0.0,20,19,0,0
TEL-500004,AST-PNT-1004,2026-03-21,1,95.1,2.23,51.0,33.0,0.0,4,36,0,0
TEL-500005,AST-OHE-1005,2026-03-21,1,88.0,14.1,58.0,33.0,0.0,13,39,0,0
TEL-500006,AST-TRK-1006,2026-03-21,1,97.6,0.32,39.1,33.0,0.0,18,13,0,0
TEL-500007,AST-TRK-1007,2026-03-21,1,96.1,0.64,33.7,33.0,0.0,3,34,0,0
TEL-500008,AST-SIG-1008,2026-03-21,1,97.4,0.31,60.3,33.0,0.0,13,31,0,0
TEL-500009,AST-PNT-1009,2026-03-21,1,93.2,2.32,38.2,33.0,0.0,11,28,0,0
TEL-500010,AST-OHE-1010,2026-03-21,1,98.6,1.6,59.0,33.0,0.0,10,38,0,0
TEL-500011,AST-TRK-1011,2026-03-21,1,96.4,0.59,64.1,33.0,0.0,13,9,0,0
TEL-500012,AST-TRK-1012,2026-03-21,1,91.8,1.28,38.3,33.0,0.0,8,7,0,0
TEL-500013,AST-SIG-1013,2026-03-21,1,92.3,0.9,41.5,33.0,0.0,11,18,0,0
TEL-500014,AST-PNT-1014,2026-03-21,1,90.9,2.43,60.5,33.0,0.0,10,20,0,0
TEL-500015,AST-OHE-1015,2026-03-21,1,90.2,11.5,40.4,33.0,0.0,7,10,0,0
TEL-500016,AST-TRK-1016,2026-03-21,1,98.0,0.27,48.9,33.0,0.0,14,38,0,0
TEL-500017,AST-TRK-1017,2026-03-21,1,91.2,1.49,29.0,33.0,0.0,3,41,0,0
TEL-500018,AST-SIG-1018,2026-03-21,1,95.8,0.5,30.3,33.0,0.0,21,32,0,0
TEL-500019,AST-PNT-1019,2026-03-21,1,97.5,2.12,63.9,33.0,0.0,4,36,0,0
TEL-500020,AST-OHE-1020,2026-03-21,1,98.1,2.2,32.4,33.0,0.0,4,14,0,0
TEL-500021,AST-TRK-1021,2026-03-21,1,96.4,0.54,42.1,33.0,0.0,4,10,0,0
TEL-500022,AST-SIG-1022,2026-03-21,1,98.2,0.21,59.2,33.0,0.0,19,19,0,0
TEL-500023,AST-PNT-1023,2026-03-21,1,93.4,2.31,27.1,33.0,0.0,21,37,0,0
TEL-500024,AST-OHE-1024,2026-03-21,1,94.9,6.0,42.6,33.0,0.0,3,26,0,0
TEL-500025,AST-TRK-1025,2026-03-21,1,96.1,0.56,63.2,33.0,0.0,21,23,0,0
TEL-500026,AST-SIG-1026,2026-03-21,1,92.3,0.91,54.6,33.0,0.0,11,20,0,0
TEL-500027,AST-PNT-1027,2026-03-21,1,95.3,2.22,34.9,33.0,0.0,15,21,0,0
TEL-500028,AST-OHE-1028,2026-03-21,1,90.2,11.5,49.0,33.0,0.0,3,7,0,0
TEL-500029,AST-TRK-1029,2026-03-21,1,91.9,1.4,32.4,33.0,0.0,16,34,0,0
TEL-500030,AST-TRK-1030,2026-03-21,1,90.0,1.66,32.7,33.0,0.0,12,17,0,0
TEL-500031,AST-TRK-1031,2026-03-21,1,91.8,1.37,43.0,33.0,0.0,16,33,0,0
TEL-500032,AST-TRK-1032,2026-03-21,1,92.5,1.16,45.4,33.0,0.0,21,30,0,0
TEL-500033,AST-TRK-1033,2026-03-21,1,96.1,0.59,30.8,33.0,0.0,10,20,0,0
TEL-500034,AST-TRK-1034,2026-03-21,1,91.5,1.41,32.1,33.0,0.0,6,17,0,0
TEL-500035,AST-TRK-1035,2026-03-21,1,95.1,0.68,33.9,33.0,0.0,19,34,0,0
TEL-500036,AST-TRK-1036,2026-03-21,1,90.8,1.51,44.1,33.0,0.0,5,29,0,0
TEL-500037,AST-TRK-1037,2026-03-21,1,93.6,1.0,32.2,33.0,0.0,7,39,0,0
TEL-500038,AST-TRK-1038,2026-03-21,1,94.7,0.8,61.6,33.0,0.0,13,34,0,0
TEL-500039,AST-SIG-1039,2026-03-21,1,96.6,0.4,38.1,33.0,0.0,4,28,0,0
TEL-500040,AST-PNT-1040,2026-03-21,1,93.6,2.3,38.5,33.0,0.0,11,33,0,0
TEL-500041,AST-OHE-1041,2026-03-21,1,98.7,1.5,53.8,33.0,0.0,15,26,0,0
TEL-500042,AST-TRK-1042,2026-03-21,1,94.8,0.91,28.0,33.0,0.0,20,41,0,0
TEL-500043,AST-TRK-1043,2026-03-21,1,90.8,1.55,55.7,33.0,0.0,12,17,0,0
TEL-500044,AST-TRK-1044,2026-03-21,1,93.6,1.02,30.5,33.0,0.0,15,21,0,0
