asset_id,asset_name,category,department,section_id,track_id,start_km,end_km,criticality_weight,health_index,last_inspected_days_ago
AST-TRK-1001,Track Block NDLS-GZB UP (Km 0.0-12.5),TRACK,ENGINEERING,NDLS-GZB,NDLS-GZB-UP-FAST,0.0,12.5,5,68.7,52
AST-TRK-1002,Track Block NDLS-GZB UP (Km 12.5-25.0),TRACK,ENGINEERING,NDLS-GZB,NDLS-GZB-UP-FAST,12.5,25.0,4,73.1,13
AST-SIG-1003,Signal Post NDLS-GZB UP Auto Block,SIGNAL,SIGNAL_TELECOM,NDLS-GZB,NDLS-GZB-UP-FAST,7.5,7.6,4,91.4,37
AST-PNT-1004,Point Machine NDLS-GZB Crossover Junction,POINT_MACHINE,SIGNAL_TELECOM,NDLS-GZB,NDLS-GZB-UP-FAST,20.0,20.2,5,63.0,15
AST-OHE-1005,25kV OHE Catenary Section NDLS-GZB UP,OHE,TRD,NDLS-GZB,NDLS-GZB-UP-FAST,0.0,25.0,4,68.9,12
AST-TRK-1006,Track Block NDLS-GZB DOWN (Km 0.0-12.5),TRACK,ENGINEERING,NDLS-GZB,NDLS-GZB-DN-FAST,0.0,12.5,3,72.7,43
AST-TRK-1007,Track Block NDLS-GZB DOWN (Km 12.5-25.0),TRACK,ENGINEERING,NDLS-GZB,NDLS-GZB-DN-FAST,12.5,25.0,3,83.5,50
AST-SIG-1008,Signal Post NDLS-GZB DOWN Auto Block,SIGNAL,SIGNAL_TELECOM,NDLS-GZB,NDLS-GZB-DN-FAST,7.5,7.6,4,88.8,37
AST-PNT-1009,Point Machine NDLS-GZB Crossover Junction,POINT_MACHINE,SIGNAL_TELECOM,NDLS-GZB,NDLS-GZB-DN-FAST,20.0,20.2,5,74.7,16
AST-OHE-1010,25kV OHE Catenary Section NDLS-GZB DOWN,OHE,TRD,NDLS-GZB,NDLS-GZB-DN-FAST,0.0,25.0,4,85.1,7
AST-TRK-1011,Track Block NDLS-GZB UP (Km 0.0-12.5),TRACK,ENGINEERING,NDLS-GZB,NDLS-GZB-UP-SLOW,0.0,12.5,3,88.0,26
AST-TRK-1012,Track Block NDLS-GZB UP (Km 12.5-25.0),TRACK,ENGINEERING,NDLS-GZB,NDLS-GZB-UP-SLOW,12.5,25.0,4,70.1,53
AST-SIG-1013,Signal Post NDLS-GZB UP Auto Block,SIGNAL,SIGNAL_TELECOM,NDLS-GZB,NDLS-GZB-UP-SLOW,7.5,7.6,4,79.8,8
AST-PNT-1014,Point Machine NDLS-GZB Crossover Junction,POINT_MACHINE,SIGNAL_TELECOM,NDLS-GZB,NDLS-GZB-UP-SLOW,20.0,20.2,5,73.3,13
AST-OHE-1015,25kV OHE Catenary Section NDLS-GZB UP,OHE,TRD,NDLS-GZB,NDLS-GZB-UP-SLOW,0.0,25.0,4,92.6,45
AST-TRK-1016,Track Block NDLS-GZB DOWN (Km 0.0-12.5),TRACK,ENGINEERING,NDLS-GZB,NDLS-GZB-DN-SLOW,0.0,12.5,4,91.6,51
AST-TRK-1017,Track Block NDLS-GZB DOWN (Km 12.5-25.0),TRACK,ENGINEERING,NDLS-GZB,NDLS-GZB-DN-SLOW,12.5,25.0,4,82.7,29
AST-SIG-1018,Signal Post NDLS-GZB DOWN Auto Block,SIGNAL,SIGNAL_TELECOM,NDLS-GZB,NDLS-GZB-DN-SLOW,7.5,7.6,4,72.3,21
AST-PNT-1019,Point Machine NDLS-GZB Crossover Junction,POINT_MACHINE,SIGNAL_TELECOM,NDLS-GZB,NDLS-GZB-DN-SLOW,20.0,20.2,5,89.0,21
AST-OHE-1020,25kV OHE Catenary Section NDLS-GZB DOWN,OHE,TRD,NDLS-GZB,NDLS-GZB-DN-SLOW,0.0,25.0,4,93.7,30
AST-TRK-1021,Track Block ANVT-GZB UP (Km 0.0-15.0),TRACK,ENGINEERING,ANVT-GZB,ANVT-GZB-UP,0.0,15.0,5,71.3,9
AST-SIG-1022,Signal Post ANVT-GZB UP Auto Block,SIGNAL,SIGNAL_TELECOM,ANVT-GZB,ANVT-GZB-UP,4.5,4.6,4,71.3,17
