forecast_id,train_number,section_id,track_id,estimated_entry,estimated_exit,confidence_score,commodity,origin_hub,destination_hub,source
GF-7001,FRT-0005,ALJN-TDL,ALJN-TDL-UP,2026-10-01 15:01:00,2026-10-01 16:22:00,0.91,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7002,FRT-0005,ETW-CNB,ETW-CNB-UP,2026-10-01 16:37:00,2026-10-01 17:58:00,0.91,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7003,FRT-0005,ANVT-GZB,ANVT-GZB-DN,2026-10-01 18:13:00,2026-10-01 19:05:00,0.91,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7004,FRT-0005,GZB-ALJN,GZB-ALJN-DN,2026-10-01 19:20:00,2026-10-01 20:14:00,0.91,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7005,FRT-0008,ALJN-TDL,ALJN-TDL-UP,2026-10-01 18:51:00,2026-10-01 19:41:00,0.89,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7006,FRT-0008,TDL-ETW,TDL-ETW-DN,2026-10-01 19:56:00,2026-10-01 21:24:00,0.89,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7007,FRT-0008,NDLS-GZB,NDLS-GZB-DN,2026-10-01 21:39:00,2026-10-01 22:43:00,0.89,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7008,FRT-0035,CNB-PRYJ,CNB-PRYJ-DN,2026-10-01 18:29:00,2026-10-01 19:50:00,0.9,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7009,FRT-0035,NDLS-GZB,NDLS-GZB-DN,2026-10-01 20:05:00,2026-10-01 21:12:00,0.9,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7010,FRT-0035,ALJN-TDL,ALJN-TDL-UP,2026-10-01 21:27:00,2026-10-01 22:30:00,0.9,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7011,FRT-0035,TDL-ETW,TDL-ETW-DN,2026-10-01 22:45:00,2026-10-01 23:49:00,0.9,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7012,FRT-0040,NDLS-GZB,NDLS-GZB-DN,2026-10-01 20:44:00,2026-10-01 21:32:00,0.53,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7013,FRT-0040,ETW-CNB,ETW-CNB-UP,2026-10-01 21:47:00,2026-10-01 23:11:00,0.53,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7014,FRT-0040,ALJN-TDL,ALJN-TDL-UP,2026-10-01 23:26:00,2026-10-02 00:16:00,0.53,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7015,FRT-0041,GZB-ALJN,GZB-ALJN-UP,2026-10-01 10:35:00,2026-10-01 11:36:00,0.59,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7016,FRT-0041,ANVT-GZB,ANVT-GZB-UP,2026-10-01 11:51:00,2026-10-01 13:14:00,0.59,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7017,FRT-0041,TDL-ETW,TDL-ETW-DN,2026-10-01 13:29:00,2026-10-01 14:23:00,0.59,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7018,FRT-0042,GZB-ALJN,GZB-ALJN-DN,2026-10-01 09:03:00,2026-10-01 10:21:00,0.69,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7019,FRT-0042,ETW-CNB,ETW-CNB-DN,2026-10-01 10:36:00,2026-10-01 11:26:00,0.69,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7020,FRT-0047,CNB-PRYJ,CNB-PRYJ-DN,2026-10-01 15:05:00,2026-10-01 16:05:00,0.84,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7021,FRT-0047,ALJN-TDL,ALJN-TDL-DN,2026-10-01 16:20:00,2026-10-01 17:18:00,0.84,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7022,FRT-0054,ETW-CNB,ETW-CNB-UP,2026-10-01 04:57:00,2026-10-01 06:11:00,0.48,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7023,FRT-0054,GZB-ALJN,GZB-ALJN-DN,2026-10-01 06:26:00,2026-10-01 07:41:00,0.48,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7024,FRT-0080,ALJN-TDL,ALJN-TDL-DN,2026-10-01 14:18:00,2026-10-01 15:12:00,0.69,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7025,FRT-0080,ETW-CNB,ETW-CNB-UP,2026-10-01 15:27:00,2026-10-01 16:12:00,0.69,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7026,FRT-0090,ETW-CNB,ETW-CNB-DN,2026-10-01 02:24:00,2026-10-01 03:43:00,0.5,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7027,FRT-0090,GZB-ALJN,GZB-ALJN-DN,2026-10-01 03:58:00,2026-10-01 05:22:00,0.5,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7028,FRT-0090,TDL-ETW,TDL-ETW-UP,2026-10-01 05:37:00,2026-10-01 06:43:00,0.5,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7029,FRT-0095,ETW-CNB,ETW-CNB-DN,2026-10-01 16:44:00,2026-10-01 17:44:00,0.84,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7030,FRT-0095,TDL-ETW,TDL-ETW-DN,2026-10-01 17:59:00,2026-10-01 18:56:00,0.84,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7031,FRT-0095,ALJN-TDL,ALJN-TDL-DN,2026-10-01 19:11:00,2026-10-01 20:16:00,0.84,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7032,FRT-0005,NDLS-GZB,NDLS-GZB-UP,2026-10-02 04:20:00,2026-10-02 05:48:00,0.71,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7033,FRT-0005,ALJN-TDL,ALJN-TDL-UP,2026-10-02 06:03:00,2026-10-02 07:06:00,0.71,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7034,FRT-0008,TDL-ETW,TDL-ETW-DN,2026-10-02 02:56:00,2026-10-02 04:23:00,0.92,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7035,FRT-0008,NDLS-GZB,NDLS-GZB-DN,2026-10-02 04:38:00,2026-10-02 06:01:00,0.92,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7036,FRT-0035,CNB-PRYJ,CNB-PRYJ-DN,2026-10-02 05:26:00,2026-10-02 06:52:00,0.64,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7037,FRT-0035,TDL-ETW,TDL-ETW-DN,2026-10-02 07:07:00,2026-10-02 07:59:00,0.64,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7038,FRT-0040,ALJN-TDL,ALJN-TDL-DN,2026-10-02 22:48:00,2026-10-02 23:50:00,0.68,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7039,FRT-0040,ETW-CNB,ETW-CNB-UP,2026-10-03 00:05:00,2026-10-03 01:06:00,0.68,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7040,FRT-0040,NDLS-GZB,NDLS-GZB-DN,2026-10-03 01:21:00,2026-10-03 02:23:00,0.68,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7041,FRT-0041,GZB-ALJN,GZB-ALJN-UP,2026-10-02 10:02:00,2026-10-02 10:51:00,0.54,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7042,FRT-0041,NDLS-GZB,NDLS-GZB-UP,2026-10-02 11:06:00,2026-10-02 12:30:00,0.54,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7043,FRT-0041,CNB-PRYJ,CNB-PRYJ-UP,2026-10-02 12:45:00,2026-10-02 13:36:00,0.54,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7044,FRT-0042,TDL-ETW,TDL-ETW-UP,2026-10-02 04:37:00,2026-10-02 06:07:00,0.91,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7045,FRT-0042,ETW-CNB,ETW-CNB-UP,2026-10-02 06:22:00,2026-10-02 07:11:00,0.91,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
