event_id,asset_id,date,day_index,category,severity,is_functional_failure,health_at_event
EVT-800001,AST-TRK-1093,2026-03-21,1,TRACK,URGENT,False,97.1
EVT-800002,AST-TRK-1168,2026-03-21,1,TRACK,EMERGENCY,True,96.8
EVT-800003,AST-PNT-1019,2026-03-24,4,POINT_MACHINE,EMERGENCY,True,96.8
EVT-800004,AST-PNT-1027,2026-03-24,4,POINT_MACHINE,URGENT,False,94.9
EVT-800005,AST-TRK-1038,2026-03-24,4,TRACK,EMERGENCY,True,94.9
EVT-800006,AST-TRK-1136,2026-03-24,4,TRACK,URGENT,False,95.7
EVT-800007,AST-TRK-1148,2026-03-24,4,TRACK,EMERGENCY,True,94.2
EVT-800008,AST-TRK-1166,2026-03-24,4,TRACK,URGENT,False,91.8
EVT-800009,AST-TRK-1105,2026-03-26,6,TRACK,URGENT,False,94.2
EVT-800010,AST-TRK-1133,2026-03-26,6,TRACK,EMERGENCY,True,92.5
EVT-800011,AST-TRK-1016,2026-03-27,7,TRACK,EMERGENCY,True,97.3
EVT-800012,AST-TRK-1060,2026-03-27,7,TRACK,URGENT,False,93.8
EVT-800013,AST-TRK-1099,2026-03-27,7,TRACK,URGENT,False,92.4
EVT-800014,AST-TRK-1006,2026-03-28,8,TRACK,URGENT,False,96.7
EVT-800015,AST-SIG-1013,2026-03-28,8,SIGNAL,URGENT,False,92.1
EVT-800016,AST-TRK-1087,2026-03-29,9,TRACK,EMERGENCY,True,96.6
EVT-800017,AST-TRK-1109,2026-03-29,9,TRACK,URGENT,False,88.9
EVT-800018,AST-OHE-1130,2026-03-29,9,OHE,URGENT,False,96.9
EVT-800019,AST-TRK-1137,2026-03-30,10,TRACK,URGENT,False,95.0
EVT-800020,AST-TRK-1057,2026-03-31,11,TRACK,EMERGENCY,True,90.4
EVT-800021,AST-SIG-1022,2026-04-02,13,SIGNAL,URGENT,False,98.0
EVT-800022,AST-PNT-1009,2026-04-03,14,POINT_MACHINE,URGENT,False,90.7
EVT-800023,AST-SIG-1026,2026-04-03,14,SIGNAL,URGENT,False,91.7
EVT-800024,AST-TRK-1029,2026-04-03,14,TRACK,URGENT,False,90.4
EVT-800025,AST-TRK-1055,2026-04-03,14,TRACK,URGENT,False,95.3
EVT-800026,AST-SIG-1096,2026-04-04,15,SIGNAL,URGENT,False,93.2
EVT-800027,AST-PNT-1014,2026-04-05,16,POINT_MACHINE,URGENT,False,88.7
EVT-800028,AST-OHE-1020,2026-04-05,16,OHE,URGENT,False,96.8
EVT-800029,AST-SIG-1052,2026-04-05,16,SIGNAL,URGENT,False,95.8
EVT-800030,AST-TRK-1076,2026-04-05,16,TRACK,URGENT,False,96.3
EVT-800031,AST-TRK-1083,2026-04-05,16,TRACK,EMERGENCY,True,91.7
EVT-800032,AST-TRK-1093,2026-04-05,16,TRACK,URGENT,False,95.4
EVT-800033,AST-TRK-1006,2026-04-06,17,TRACK,URGENT,False,96.0
EVT-800034,AST-TRK-1153,2026-04-06,17,TRACK,URGENT,False,92.9
EVT-800035,AST-TRK-1034,2026-04-07,18,TRACK,URGENT,False,89.4
EVT-800036,AST-TRK-1153,2026-04-08,19,TRACK,URGENT,False,92.6
EVT-800037,AST-PNT-1113,2026-04-09,20,POINT_MACHINE,EMERGENCY,True,89.8
EVT-800038,AST-TRK-1145,2026-04-09,20,TRACK,URGENT,False,88.1
EVT-800039,AST-TRK-1157,2026-04-09,20,TRACK,EMERGENCY,True,90.7
EVT-800040,AST-TRK-1002,2026-04-10,21,TRACK,URGENT,False,90.9
EVT-800041,AST-OHE-1010,2026-04-10,21,OHE,URGENT,False,97.2
EVT-800042,AST-TRK-1082,2026-04-10,21,TRACK,URGENT,False,92.1
EVT-800043,AST-SIG-1128,2026-04-10,21,SIGNAL,EMERGENCY,True,95.2
EVT-800044,AST-TRK-1153,2026-04-10,21,TRACK,URGENT,False,92.6
EVT-800045,AST-TRK-1025,2026-04-11,22,TRACK,URGENT,False,94.4
EVT-800046,AST-TRK-1080,2026-04-12,23,TRACK,URGENT,False,90.1
EVT-800047,AST-TRK-1031,2026-04-13,24,TRACK,URGENT,False,90.0
EVT-800048,AST-SIG-1150,2026-04-13,24,SIGNAL,EMERGENCY,True,91.1
EVT-800049,AST-TRK-1035,2026-04-14,25,TRACK,URGENT,False,96.8
EVT-800050,AST-TRK-1038,2026-04-14,25,TRACK,URGENT,False,92.9
EVT-800051,AST-TRK-1042,2026-04-14,25,TRACK,EMERGENCY,True,96.3
EVT-800052,AST-TRK-1079,2026-04-14,25,TRACK,URGENT,False,95.1
EVT-800053,AST-TRK-1105,2026-04-14,25,TRACK,URGENT,False,92.5
EVT-800054,AST-TRK-1133,2026-04-14,25,TRACK,URGENT,False,90.8
EVT-800055,AST-TRK-1160,2026-04-14,25,TRACK,URGENT,False,93.3
EVT-800056,AST-TRK-1082,2026-04-15,26,TRACK,EMERGENCY,True,96.4
EVT-800057,AST-TRK-1001,2026-04-16,27,TRACK,URGENT,False,91.7
EVT-800058,AST-SIG-1013,2026-04-16,27,SIGNAL,URGENT,False,91.3
EVT-800059,AST-PNT-1040,2026-04-16,27,POINT_MACHINE,URGENT,False,97.5
EVT-800060,AST-TRK-1162,2026-04-16,27,TRACK,URGENT,False,92.9
EVT-800061,AST-TRK-1037,2026-04-17,28,TRACK,URGENT,False,96.5
EVT-800062,AST-TRK-1066,2026-04-17,28,TRACK,URGENT,False,95.5
EVT-800063,AST-PNT-1023,2026-04-18,29,POINT_MACHINE,EMERGENCY,True,96.4
EVT-800064,AST-TRK-1051,2026-04-18,29,TRACK,URGENT,False,95.6
EVT-800065,AST-TRK-1068,2026-04-20,31,TRACK,URGENT,False,88.0
EVT-800066,AST-TRK-1111,2026-04-20,31,TRACK,URGENT,False,94.3
EVT-800067,AST-TRK-1171,2026-04-20,31,TRACK,URGENT,False,91.9
EVT-800068,AST-SIG-1013,2026-04-21,32,SIGNAL,URGENT,False,91.2
EVT-800069,AST-TRK-1117,2026-04-21,32,TRACK,URGENT,False,95.6
EVT-800070,AST-TRK-1166,2026-04-21,32,TRACK,URGENT,False,89.3
EVT-800071,AST-TRK-1059,2026-04-22,33,TRACK,URGENT,False,92.9
EVT-800072,AST-OHE-1064,2026-04-22,33,OHE,URGENT,False,94.8
EVT-800073,AST-TRK-1042,2026-04-23,34,TRACK,URGENT,False,95.7
EVT-800074,AST-TRK-1069,2026-04-23,34,TRACK,URGENT,False,96.7
EVT-800075,AST-TRK-1105,2026-04-23,34,TRACK,URGENT,False,95.5
EVT-800076,AST-TRK-1107,2026-04-23,34,TRACK,URGENT,False,95.0
EVT-800077,AST-PNT-1027,2026-04-24,35,POINT_MACHINE,URGENT,False,89.6
EVT-800078,AST-TRK-1031,2026-04-24,35,TRACK,URGENT,False,95.0
EVT-800079,AST-PNT-1151,2026-04-24,35,POINT_MACHINE,URGENT,False,87.7
EVT-800080,AST-TRK-1169,2026-04-24,35,TRACK,EMERGENCY,True,88.9
EVT-800081,AST-TRK-1121,2026-04-25,36,TRACK,URGENT,False,88.1
