inspection_id,asset_id,date,day_index,inspection_type,measured_health,detected_flaws
INSP-600001,AST-TRK-1025,2026-03-25,5,USFD_ULTRASONIC,97.2,0
INSP-600002,AST-TRK-1120,2026-03-25,5,USFD_ULTRASONIC,90.3,0
INSP-600003,AST-SIG-1018,2026-03-26,6,POINT_GEAR_TEST,96.5,0
INSP-600004,AST-SIG-1022,2026-03-28,8,POINT_GEAR_TEST,99.2,0
INSP-600005,AST-TRK-1042,2026-03-28,8,USFD_ULTRASONIC,95.0,0
INSP-600006,AST-TRK-1049,2026-03-28,8,USFD_ULTRASONIC,90.7,0
INSP-600007,AST-TRK-1071,2026-03-28,8,USFD_ULTRASONIC,87.8,0
INSP-600008,AST-TRK-1136,2026-03-28,8,USFD_ULTRASONIC,93.7,0
INSP-600009,AST-TRK-1168,2026-03-28,8,USFD_ULTRASONIC,98.0,0
INSP-600010,AST-TRK-1006,2026-03-29,9,USFD_ULTRASONIC,97.1,0
INSP-600011,AST-TRK-1035,2026-03-29,9,USFD_ULTRASONIC,92.8,0
INSP-600012,AST-TRK-1045,2026-03-29,9,USFD_ULTRASONIC,91.7,0
INSP-600013,AST-TRK-1103,2026-03-29,9,USFD_ULTRASONIC,97.0,0
INSP-600014,AST-SIG-1112,2026-03-29,9,POINT_GEAR_TEST,89.3,0
INSP-600015,AST-TRK-1122,2026-03-29,9,USFD_ULTRASONIC,92.1,0
INSP-600016,AST-TRK-1145,2026-03-29,9,USFD_ULTRASONIC,87.1,0
INSP-600017,AST-OHE-1174,2026-03-29,9,TOWER_WAGON,96.3,0
INSP-600018,AST-TRK-1046,2026-03-30,10,USFD_ULTRASONIC,98.7,0
INSP-600019,AST-TRK-1077,2026-03-30,10,USFD_ULTRASONIC,88.8,0
INSP-600020,AST-TRK-1090,2026-03-30,10,USFD_ULTRASONIC,91.8,0
INSP-600021,AST-TRK-1115,2026-03-30,10,USFD_ULTRASONIC,95.8,0
INSP-600022,AST-TRK-1137,2026-03-30,10,USFD_ULTRASONIC,94.7,0
INSP-600023,AST-TRK-1048,2026-03-31,11,USFD_ULTRASONIC,89.7,0
INSP-600024,AST-OHE-1086,2026-03-31,11,TOWER_WAGON,92.5,0
INSP-600025,AST-TRK-1109,2026-03-31,11,USFD_ULTRASONIC,89.3,0
INSP-600026,AST-TRK-1121,2026-03-31,11,USFD_ULTRASONIC,91.3,0
INSP-600027,AST-TRK-1148,2026-03-31,11,USFD_ULTRASONIC,94.5,0
INSP-600028,AST-TRK-1016,2026-04-01,12,USFD_ULTRASONIC,96.3,0
INSP-600029,AST-PNT-1023,2026-04-01,12,POINT_GEAR_TEST,90.6,0
INSP-600030,AST-PNT-1027,2026-04-01,12,POINT_GEAR_TEST,92.7,0
INSP-600031,AST-TRK-1031,2026-04-01,12,USFD_ULTRASONIC,90.3,0
INSP-600032,AST-TRK-1032,2026-04-01,12,USFD_ULTRASONIC,90.5,0
INSP-600033,AST-TRK-1047,2026-04-01,12,USFD_ULTRASONIC,94.9,0
INSP-600034,AST-TRK-1106,2026-04-01,12,USFD_ULTRASONIC,92.1,0
INSP-600035,AST-TRK-1140,2026-04-01,12,USFD_ULTRASONIC,93.7,0
INSP-600036,AST-TRK-1141,2026-04-01,12,USFD_ULTRASONIC,89.6,0
INSP-600037,AST-PNT-1151,2026-04-01,12,POINT_GEAR_TEST,91.3,0
INSP-600038,AST-TRK-1069,2026-04-02,13,USFD_ULTRASONIC,94.7,0
INSP-600039,AST-TRK-1078,2026-04-02,13,USFD_ULTRASONIC,92.7,0
INSP-600040,AST-TRK-1091,2026-04-02,13,USFD_ULTRASONIC,95.9,0
INSP-600041,AST-TRK-1102,2026-04-02,13,USFD_ULTRASONIC,95.6,0
INSP-600042,AST-TRK-1108,2026-04-02,13,USFD_ULTRASONIC,92.0,0
INSP-600043,AST-TRK-1126,2026-04-02,13,USFD_ULTRASONIC,92.6,0
INSP-600044,AST-OHE-1130,2026-04-02,13,TOWER_WAGON,98.5,0
INSP-600045,AST-OHE-1152,2026-04-02,13,TOWER_WAGON,94.9,0
INSP-600046,AST-TRK-1169,2026-04-02,13,USFD_ULTRASONIC,90.7,0
