intervention_id,asset_id,date,day_index,intervention_type,health_before,health_restored
INTV-700001,AST-TRK-1051,2026-04-06,17,PREVENTIVE_TAMPING_OVERHAUL,91.5,98.0
INTV-700002,AST-PNT-1023,2026-04-09,20,CORRECTIVE_ADJUSTMENT,90.7,98.0
INTV-700003,AST-TRK-1042,2026-04-09,20,PREVENTIVE_TAMPING_OVERHAUL,92.5,98.0
INTV-700004,AST-PNT-1004,2026-04-10,21,CORRECTIVE_ADJUSTMENT,91.7,98.0
INTV-700005,AST-TRK-1017,2026-04-10,21,PREVENTIVE_TAMPING_OVERHAUL,89.4,98.0
INTV-700006,AST-PNT-1085,2026-04-10,21,CORRECTIVE_ADJUSTMENT,92.8,98.0
INTV-700007,AST-TRK-1095,2026-04-10,21,PREVENTIVE_TAMPING_OVERHAUL,91.8,98.0
INTV-700008,AST-OHE-1098,2026-04-10,21,CORRECTIVE_ADJUSTMENT,91.3,98.0
INTV-700009,AST-TRK-1047,2026-04-11,22,PREVENTIVE_TAMPING_OVERHAUL,93.8,98.0
INTV-700010,AST-TRK-1082,2026-04-11,22,PREVENTIVE_TAMPING_OVERHAUL,91.2,98.0
INTV-700011,AST-TRK-1155,2026-04-11,22,PREVENTIVE_TAMPING_OVERHAUL,94.8,98.0
INTV-700012,AST-OHE-1010,2026-04-12,23,CORRECTIVE_ADJUSTMENT,97.1,98.0
INTV-700013,AST-TRK-1035,2026-04-12,23,PREVENTIVE_TAMPING_OVERHAUL,93.8,98.0
INTV-700014,AST-TRK-1037,2026-04-12,23,PREVENTIVE_TAMPING_OVERHAUL,91.6,98.0
INTV-700015,AST-TRK-1116,2026-04-12,23,PREVENTIVE_TAMPING_OVERHAUL,95.5,98.0
INTV-700016,AST-TRK-1132,2026-04-12,23,PREVENTIVE_TAMPING_OVERHAUL,90.3,98.0
INTV-700017,AST-SIG-1172,2026-04-12,23,CORRECTIVE_ADJUSTMENT,96.7,98.0
INTV-700018,AST-PNT-1040,2026-04-13,24,CORRECTIVE_ADJUSTMENT,90.4,98.0
INTV-700019,AST-TRK-1056,2026-04-13,24,PREVENTIVE_TAMPING_OVERHAUL,89.1,98.0
INTV-700020,AST-TRK-1060,2026-04-13,24,PREVENTIVE_TAMPING_OVERHAUL,92.7,98.0
INTV-700021,AST-TRK-1117,2026-04-13,24,PREVENTIVE_TAMPING_OVERHAUL,91.3,98.0
INTV-700022,AST-PNT-1129,2026-04-13,24,CORRECTIVE_ADJUSTMENT,91.3,98.0
INTV-700023,AST-TRK-1144,2026-04-13,24,PREVENTIVE_TAMPING_OVERHAUL,87.7,98.0
INTV-700024,AST-TRK-1016,2026-04-14,25,PREVENTIVE_TAMPING_OVERHAUL,95.6,98.0
INTV-700025,AST-TRK-1066,2026-04-14,25,PREVENTIVE_TAMPING_OVERHAUL,90.3,98.0
INTV-700026,AST-TRK-1067,2026-04-14,25,PREVENTIVE_TAMPING_OVERHAUL,95.2,98.0
INTV-700027,AST-OHE-1005,2026-04-15,26,CORRECTIVE_ADJUSTMENT,85.9,98.0
INTV-700028,AST-SIG-1072,2026-04-15,26,CORRECTIVE_ADJUSTMENT,96.9,98.0
INTV-700029,AST-TRK-1075,2026-04-15,26,PREVENTIVE_TAMPING_OVERHAUL,87.9,98.0
INTV-700030,AST-TRK-1091,2026-04-15,26,PREVENTIVE_TAMPING_OVERHAUL,92.7,98.0
INTV-700031,AST-TRK-1105,2026-04-15,26,PREVENTIVE_TAMPING_OVERHAUL,92.2,98.0
INTV-700032,AST-SIG-1150,2026-04-15,26,CORRECTIVE_ADJUSTMENT,90.9,98.0
INTV-700033,AST-TRK-1159,2026-04-15,26,PREVENTIVE_TAMPING_OVERHAUL,88.0,98.0
INTV-700034,AST-TRK-1007,2026-04-16,27,PREVENTIVE_TAMPING_OVERHAUL,93.9,98.0
INTV-700035,AST-TRK-1038,2026-04-16,27,PREVENTIVE_TAMPING_OVERHAUL,92.9,98.0
INTV-700036,AST-TRK-1048,2026-04-17,28,PREVENTIVE_TAMPING_OVERHAUL,89.1,98.0
INTV-700037,AST-OHE-1054,2026-04-17,28,CORRECTIVE_ADJUSTMENT,93.1,98.0
INTV-700038,AST-TRK-1106,2026-04-17,28,PREVENTIVE_TAMPING_OVERHAUL,91.3,98.0
INTV-700039,AST-SIG-1018,2026-04-18,29,CORRECTIVE_ADJUSTMENT,94.7,98.0
INTV-700040,AST-PNT-1019,2026-04-18,29,CORRECTIVE_ADJUSTMENT,92.6,98.0
INTV-700041,AST-TRK-1032,2026-04-18,29,PREVENTIVE_TAMPING_OVERHAUL,90.6,98.0
INTV-700042,AST-TRK-1069,2026-04-18,29,PREVENTIVE_TAMPING_OVERHAUL,94.8,98.0
INTV-700043,AST-PNT-1097,2026-04-18,29,CORRECTIVE_ADJUSTMENT,88.3,98.0
INTV-700044,AST-TRK-1154,2026-04-18,29,PREVENTIVE_TAMPING_OVERHAUL,90.4,98.0
INTV-700045,AST-TRK-1162,2026-04-18,29,PREVENTIVE_TAMPING_OVERHAUL,92.9,98.0
INTV-700046,AST-OHE-1174,2026-04-18,29,CORRECTIVE_ADJUSTMENT,96.3,98.0
INTV-700047,AST-SIG-1008,2026-04-19,30,CORRECTIVE_ADJUSTMENT,96.3,98.0
