timetable_id,train_number,section_id,track_id,direction,scheduled_entry,scheduled_exit,transit_duration_mins,headway_buffer_mins,source
TT-5001,22436,CNB-PRYJ,CNB-PRYJ-UP,UP,2026-10-01 22:14:00,2026-10-01 23:31:00,77,15,SIMULATED_COA
TT-5002,22436,ETW-CNB,ETW-CNB-UP,UP,2026-10-01 23:33:00,2026-10-02 00:28:00,55,15,SIMULATED_COA
TT-5003,22436,TDL-ETW,TDL-ETW-UP,UP,2026-10-02 00:30:00,2026-10-02 01:06:00,36,15,SIMULATED_COA
TT-5004,22436,ALJN-TDL,ALJN-TDL-UP,UP,2026-10-02 01:08:00,2026-10-02 01:39:00,31,15,SIMULATED_COA
TT-5005,22436,GZB-ALJN,GZB-ALJN-UP,UP,2026-10-02 01:41:00,2026-10-02 02:23:00,42,15,SIMULATED_COA
TT-5006,22436,NDLS-GZB,NDLS-GZB-UP-FAST,UP,2026-10-02 02:25:00,2026-10-02 02:36:00,11,15,SIMULATED_COA
TT-5007,22435,CNB-PRYJ,CNB-PRYJ-UP,UP,2026-10-01 04:18:00,2026-10-01 05:35:00,77,15,SIMULATED_COA
TT-5008,22435,ETW-CNB,ETW-CNB-UP,UP,2026-10-01 05:40:00,2026-10-01 06:35:00,55,15,SIMULATED_COA
TT-5009,22435,TDL-ETW,TDL-ETW-UP,UP,2026-10-01 06:45:00,2026-10-01 07:21:00,36,15,SIMULATED_COA
TT-5010,22435,ALJN-TDL,ALJN-TDL-UP,UP,2026-10-01 07:23:00,2026-10-01 07:54:00,31,15,SIMULATED_COA
TT-5011,22435,GZB-ALJN,GZB-ALJN-UP,UP,2026-10-01 08:04:00,2026-10-01 08:46:00,42,15,SIMULATED_COA
TT-5012,22435,NDLS-GZB,NDLS-GZB-UP-FAST,UP,2026-10-01 08:48:00,2026-10-01 08:59:00,11,15,SIMULATED_COA
TT-5013,12302,NDLS-GZB,NDLS-GZB-DN-FAST,DOWN,2026-10-01 12:35:00,2026-10-01 12:47:00,12,15,SIMULATED_COA
TT-5014,12302,GZB-ALJN,GZB-ALJN-DN,DOWN,2026-10-01 12:49:00,2026-10-01 13:33:00,44,15,SIMULATED_COA
TT-5015,12302,ALJN-TDL,ALJN-TDL-DN,DOWN,2026-10-01 13:43:00,2026-10-01 14:15:00,32,15,SIMULATED_COA
TT-5016,12302,TDL-ETW,TDL-ETW-DN,DOWN,2026-10-01 14:25:00,2026-10-01 15:03:00,38,15,SIMULATED_COA
TT-5017,12302,ETW-CNB,ETW-CNB-DN,DOWN,2026-10-01 15:13:00,2026-10-01 16:11:00,58,15,SIMULATED_COA
TT-5018,12302,CNB-PRYJ,CNB-PRYJ-DN,DOWN,2026-10-01 16:21:00,2026-10-01 17:42:00,81,15,SIMULATED_COA
TT-5019,12301,NDLS-GZB,NDLS-GZB-DN-FAST,DOWN,2026-10-01 05:35:00,2026-10-01 05:47:00,12,15,SIMULATED_COA
TT-5020,12301,GZB-ALJN,GZB-ALJN-DN,DOWN,2026-10-01 05:52:00,2026-10-01 06:36:00,44,15,SIMULATED_COA
TT-5021,12301,ALJN-TDL,ALJN-TDL-DN,DOWN,2026-10-01 06:38:00,2026-10-01 07:10:00,32,15,SIMULATED_COA
TT-5022,12301,TDL-ETW,TDL-ETW-DN,DOWN,2026-10-01 07:20:00,2026-10-01 07:58:00,38,15,SIMULATED_COA
TT-5023,12301,ETW-CNB,ETW-CNB-DN,DOWN,2026-10-01 08:00:00,2026-10-01 08:58:00,58,15,SIMULATED_COA
TT-5024,12301,CNB-PRYJ,CNB-PRYJ-DN,DOWN,2026-10-01 09:03:00,2026-10-01 10:24:00,81,15,SIMULATED_COA
TT-5025,12004,NDLS-GZB,NDLS-GZB-DN-FAST,DOWN,2026-10-01 12:48:00,2026-10-01 13:00:00,12,12,SIMULATED_COA
TT-5026,12004,GZB-ALJN,GZB-ALJN-DN,DOWN,2026-10-01 13:05:00,2026-10-01 13:51:00,46,12,SIMULATED_COA
TT-5027,12004,ALJN-TDL,ALJN-TDL-DN,DOWN,2026-10-01 14:01:00,2026-10-01 14:35:00,34,12,SIMULATED_COA
TT-5028,12004,TDL-ETW,TDL-ETW-DN,DOWN,2026-10-01 14:37:00,2026-10-01 15:17:00,40,12,SIMULATED_COA
TT-5029,12004,ETW-CNB,ETW-CNB-DN,DOWN,2026-10-01 15:19:00,2026-10-01 16:20:00,61,12,SIMULATED_COA
TT-5030,12004,CNB-PRYJ,CNB-PRYJ-DN,DOWN,2026-10-01 16:30:00,2026-10-01 17:55:00,85,12,SIMULATED_COA
TT-5031,12003,NDLS-GZB,NDLS-GZB-DN-FAST,DOWN,2026-10-01 08:17:00,2026-10-01 08:29:00,12,12,SIMULATED_COA
TT-5032,12003,GZB-ALJN,GZB-ALJN-DN,DOWN,2026-10-01 08:31:00,2026-10-01 09:17:00,46,12,SIMULATED_COA
TT-5033,12003,ALJN-TDL,ALJN-TDL-DN,DOWN,2026-10-01 09:27:00,2026-10-01 10:01:00,34,12,SIMULATED_COA
TT-5034,12003,TDL-ETW,TDL-ETW-DN,DOWN,2026-10-01 10:06:00,2026-10-01 10:46:00,40,12,SIMULATED_COA
TT-5035,12003,ETW-CNB,ETW-CNB-DN,DOWN,2026-10-01 10:56:00,2026-10-01 11:57:00,61,12,SIMULATED_COA
TT-5036,12003,CNB-PRYJ,CNB-PRYJ-DN,DOWN,2026-10-01 12:07:00,2026-10-01 13:32:00,85,12,SIMULATED_COA
TT-5037,12554,NDLS-GZB,NDLS-GZB-DN-FAST,DOWN,2026-10-01 19:19:00,2026-10-01 19:33:00,14,10,SIMULATED_COA
TT-5038,12554,GZB-ALJN,GZB-ALJN-DN,DOWN,2026-10-01 19:35:00,2026-10-01 20:26:00,51,10,SIMULATED_COA
TT-5039,12554,ALJN-TDL,ALJN-TDL-DN,DOWN,2026-10-01 20:31:00,2026-10-01 21:08:00,37,10,SIMULATED_COA
TT-5040,12554,TDL-ETW,TDL-ETW-DN,DOWN,2026-10-01 21:18:00,2026-10-01 22:02:00,44,10,SIMULATED_COA
TT-5041,12554,ETW-CNB,ETW-CNB-DN,DOWN,2026-10-01 22:07:00,2026-10-01 23:14:00,67,10,SIMULATED_COA
TT-5042,12554,CNB-PRYJ,CNB-PRYJ-DN,DOWN,2026-10-01 23:24:00,2026-10-02 00:58:00,94,10,SIMULATED_COA
TT-5043,12553,CNB-PRYJ,CNB-PRYJ-UP,UP,2026-10-01 22:06:00,2026-10-01 23:40:00,94,10,SIMULATED_COA
TT-5044,12553,ETW-CNB,ETW-CNB-UP,UP,2026-10-01 23:45:00,2026-10-02 00:52:00,67,10,SIMULATED_COA
TT-5045,12553,TDL-ETW,TDL-ETW-UP,UP,2026-10-02 00:54:00,2026-10-02 01:38:00,44,10,SIMULATED_COA
TT-5046,12553,ALJN-TDL,ALJN-TDL-UP,UP,2026-10-02 01:43:00,2026-10-02 02:20:00,37,10,SIMULATED_COA
TT-5047,12553,GZB-ALJN,GZB-ALJN-UP,UP,2026-10-02 02:25:00,2026-10-02 03:16:00,51,10,SIMULATED_COA
TT-5048,12553,NDLS-GZB,NDLS-GZB-UP-FAST,UP,2026-10-02 03:18:00,2026-10-02 03:32:00,14,10,SIMULATED_COA
TT-5049,12418,NDLS-GZB,NDLS-GZB-DN-FAST,DOWN,2026-10-01 21:41:00,2026-10-01 21:55:00,14,10,SIMULATED_COA
TT-5050,12418,GZB-ALJN,GZB-ALJN-DN,DOWN,2026-10-01 22:00:00,2026-10-01 22:51:00,51,10,SIMULATED_COA
TT-5051,12418,ALJN-TDL,ALJN-TDL-DN,DOWN,2026-10-01 23:01:00,2026-10-01 23:38:00,37,10,SIMULATED_COA
TT-5052,12418,TDL-ETW,TDL-ETW-DN,DOWN,2026-10-01 23:40:00,2026-10-02 00:24:00,44,10,SIMULATED_COA
TT-5053,12418,ETW-CNB,ETW-CNB-DN,DOWN,2026-10-02 00:29:00,2026-10-02 01:36:00,67,10,SIMULATED_COA
TT-5054,12418,CNB-PRYJ,CNB-PRYJ-DN,DOWN,2026-10-02 01:38:00,2026-10-02 03:12:00,94,10,SIMULATED_COA
TT-5055,12417,NDLS-GZB,NDLS-GZB-DN-FAST,DOWN,2026-10-01 22:12:00,2026-10-01 22:26:00,14,10,SIMULATED_COA
TT-5056,12417,GZB-ALJN,GZB-ALJN-DN,DOWN,2026-10-01 22:31:00,2026-10-01 23:22:00,51,10,SIMULATED_COA
TT-5057,12417,ALJN-TDL,ALJN-TDL-DN,DOWN,2026-10-01 23:32:00,2026-10-02 00:09:00,37,10,SIMULATED_COA
TT-5058,12417,TDL-ETW,TDL-ETW-DN,DOWN,2026-10-02 00:19:00,2026-10-02 01:03:00,44,10,SIMULATED_COA
TT-5059,12417,ETW-CNB,ETW-CNB-DN,DOWN,2026-10-02 01:08:00,2026-10-02 02:15:00,67,10,SIMULATED_COA
TT-5060,12417,CNB-PRYJ,CNB-PRYJ-DN,DOWN,2026-10-02 02:20:00,2026-10-02 03:54:00,94,10,SIMULATED_COA
TT-5061,12876,NDLS-GZB,NDLS-GZB-DN-FAST,DOWN,2026-10-01 20:13:00,2026-10-01 20:27:00,14,10,SIMULATED_COA
TT-5062,12876,GZB-ALJN,GZB-ALJN-DN,DOWN,2026-10-01 20:32:00,2026-10-01 21:23:00,51,10,SIMULATED_COA
TT-5063,12876,ALJN-TDL,ALJN-TDL-DN,DOWN,2026-10-01 21:28:00,2026-10-01 22:05:00,37,10,SIMULATED_COA
TT-5064,12876,TDL-ETW,TDL-ETW-DN,DOWN,2026-10-01 22:07:00,2026-10-01 22:51:00,44,10,SIMULATED_COA
TT-5065,12876,ETW-CNB,ETW-CNB-DN,DOWN,2026-10-01 22:53:00,2026-10-02 00:00:00,67,10,SIMULATED_COA
TT-5066,12876,CNB-PRYJ,CNB-PRYJ-DN,DOWN,2026-10-02 00:05:00,2026-10-02 01:39:00,94,10,SIMULATED_COA
TT-5067,12875,CNB-PRYJ,CNB-PRYJ-UP,UP,2026-10-01 15:51:00,2026-10-01 17:25:00,94,10,SIMULATED_COA
TT-5068,12875,ETW-CNB,ETW-CNB-UP,UP,2026-10-01 17:35:00,2026-10-01 18:42:00,67,10,SIMULATED_COA
TT-5069,12875,TDL-ETW,TDL-ETW-UP,UP,2026-10-01 18:52:00,2026-10-01 19:36:00,44,10,SIMULATED_COA
TT-5070,12875,ALJN-TDL,ALJN-TDL-UP,UP,2026-10-01 19:46:00,2026-10-01 20:23:00,37,10,SIMULATED_COA
TT-5071,12875,GZB-ALJN,GZB-ALJN-UP,UP,2026-10-01 20:28:00,2026-10-01 21:19:00,51,10,SIMULATED_COA
TT-5072,12875,NDLS-GZB,NDLS-GZB-UP-FAST,UP,2026-10-01 21:24:00,2026-10-01 21:38:00,14,10,SIMULATED_COA
TT-5073,14218,CNB-PRYJ,CNB-PRYJ-UP,UP,2026-10-01 11:05:00,2026-10-01 12:50:00,105,8,SIMULATED_COA
TT-5074,14218,ETW-CNB,ETW-CNB-UP,UP,2026-10-01 12:52:00,2026-10-01 14:07:00,75,8,SIMULATED_COA
TT-5075,14218,TDL-ETW,TDL-ETW-UP,UP,2026-10-01 14:12:00,2026-10-01 15:01:00,49,8,SIMULATED_COA
TT-5076,14218,ALJN-TDL,ALJN-TDL-UP,UP,2026-10-01 15:03:00,2026-10-01 15:45:00,42,8,SIMULATED_COA
TT-5077,14218,GZB-ALJN,GZB-ALJN-UP,UP,2026-10-01 15:50:00,2026-10-01 16:47:00,57,8,SIMULATED_COA
TT-5078,14218,NDLS-GZB,NDLS-GZB-UP-SLOW,UP,2026-10-01 16:52:00,2026-10-01 17:08:00,16,8,SIMULATED_COA
TT-5079,14217,CNB-PRYJ,CNB-PRYJ-UP,UP,2026-10-01 20:20:00,2026-10-01 22:05:00,105,8,SIMULATED_COA
TT-5080,14217,ETW-CNB,ETW-CNB-UP,UP,2026-10-01 22:15:00,2026-10-01 23:30:00,75,8,SIMULATED_COA
TT-5081,14217,TDL-ETW,TDL-ETW-UP,UP,2026-10-01 23:35:00,2026-10-02 00:24:00,49,8,SIMULATED_COA
TT-5082,14217,ALJN-TDL,ALJN-TDL-UP,UP,2026-10-02 00:34:00,2026-10-02 01:16:00,42,8,SIMULATED_COA
TT-5083,14217,GZB-ALJN,GZB-ALJN-UP,UP,2026-10-02 01:18:00,2026-10-02 02:15:00,57,8,SIMULATED_COA
TT-5084,14217,NDLS-GZB,NDLS-GZB-UP-SLOW,UP,2026-10-02 02:25:00,2026-10-02 02:41:00,16,8,SIMULATED_COA
TT-5085,14006,CNB-PRYJ,CNB-PRYJ-UP,UP,2026-10-01 13:52:00,2026-10-01 15:37:00,105,8,SIMULATED_COA
TT-5086,14006,ETW-CNB,ETW-CNB-UP,UP,2026-10-01 15:42:00,2026-10-01 16:57:00,75,8,SIMULATED_COA
TT-5087,14006,TDL-ETW,TDL-ETW-UP,UP,2026-10-01 17:07:00,2026-10-01 17:56:00,49,8,SIMULATED_COA
TT-5088,14006,ALJN-TDL,ALJN-TDL-UP,UP,2026-10-01 17:58:00,2026-10-01 18:40:00,42,8,SIMULATED_COA
TT-5089,14006,GZB-ALJN,GZB-ALJN-UP,UP,2026-10-01 18:50:00,2026-10-01 19:47:00,57,8,SIMULATED_COA
TT-5090,14006,NDLS-GZB,NDLS-GZB-UP-SLOW,UP,2026-10-01 19:52:00,2026-10-01 20:08:00,16,8,SIMULATED_COA
TT-5091,14005,NDLS-GZB,NDLS-GZB-DN-SLOW,DOWN,2026-10-01 15:17:00,2026-10-01 15:33:00,16,8,SIMULATED_COA
TT-5092,14005,GZB-ALJN,GZB-ALJN-DN,DOWN,2026-10-01 15:35:00,2026-10-01 16:32:00,57,8,SIMULATED_COA
TT-5093,14005,ALJN-TDL,ALJN-TDL-DN,DOWN,2026-10-01 16:34:00,2026-10-01 17:16:00,42,8,SIMULATED_COA
TT-5094,14005,TDL-ETW,TDL-ETW-DN,DOWN,2026-10-01 17:21:00,2026-10-01 18:10:00,49,8,SIMULATED_COA
TT-5095,14005,ETW-CNB,ETW-CNB-DN,DOWN,2026-10-01 18:12:00,2026-10-01 19:27:00,75,8,SIMULATED_COA
TT-5096,14005,CNB-PRYJ,CNB-PRYJ-DN,DOWN,2026-10-01 19:32:00,2026-10-01 21:17:00,105,8,SIMULATED_COA
TT-5097,19702,CNB-PRYJ,CNB-PRYJ-UP,UP,2026-10-01 22:39:00,2026-10-02 00:24:00,105,8,SIMULATED_COA
TT-5098,19702,ETW-CNB,ETW-CNB-UP,UP,2026-10-02 00:34:00,2026-10-02 01:49:00,75,8,SIMULATED_COA
TT-5099,19702,TDL-ETW,TDL-ETW-UP,UP,2026-10-02 01:54:00,2026-10-02 02:43:00,49,8,SIMULATED_COA
TT-5100,19702,ALJN-TDL,ALJN-TDL-UP,UP,2026-10-02 02:48:00,2026-10-02 03:30:00,42,8,SIMULATED_COA
TT-5101,19702,GZB-ALJN,GZB-ALJN-UP,UP,2026-10-02 03:40:00,2026-10-02 04:37:00,57,8,SIMULATED_COA
TT-5102,19702,NDLS-GZB,NDLS-GZB-UP-SLOW,UP,2026-10-02 04:47:00,2026-10-02 05:03:00,16,8,SIMULATED_COA
TT-5103,17493,CNB-PRYJ,CNB-PRYJ-UP,UP,2026-10-01 18:47:00,2026-10-01 20:32:00,105,8,SIMULATED_COA
TT-5104,17493,ETW-CNB,ETW-CNB-UP,UP,2026-10-01 20:37:00,2026-10-01 21:52:00,75,8,SIMULATED_COA
TT-5105,17493,TDL-ETW,TDL-ETW-UP,UP,2026-10-01 21:57:00,2026-10-01 22:46:00,49,8,SIMULATED_COA
TT-5106,17493,ALJN-TDL,ALJN-TDL-UP,UP,2026-10-01 22:56:00,2026-10-01 23:38:00,42,8,SIMULATED_COA
TT-5107,17493,GZB-ALJN,GZB-ALJN-UP,UP,2026-10-01 23:43:00,2026-10-02 00:40:00,57,8,SIMULATED_COA
TT-5108,17493,NDLS-GZB,NDLS-GZB-UP-SLOW,UP,2026-10-02 00:45:00,2026-10-02 01:01:00,16,8,SIMULATED_COA
TT-5109,15533,CNB-PRYJ,CNB-PRYJ-UP,UP,2026-10-01 04:07:00,2026-10-01 05:28:00,81,15,SIMULATED_COA
TT-5110,15533,ETW-CNB,ETW-CNB-UP,UP,2026-10-01 05:38:00,2026-10-01 06:36:00,58,15,SIMULATED_COA
TT-5111,15533,TDL-ETW,TDL-ETW-UP,UP,2026-10-01 06:38:00,2026-10-01 07:16:00,38,15,SIMULATED_COA
TT-5112,15533,ALJN-TDL,ALJN-TDL-UP,UP,2026-10-01 07:21:00,2026-10-01 07:53:00,32,15,SIMULATED_COA
TT-5113,15533,GZB-ALJN,GZB-ALJN-UP,UP,2026-10-01 07:55:00,2026-10-01 08:39:00,44,15,SIMULATED_COA
TT-5114,15533,NDLS-GZB,NDLS-GZB-UP-FAST,UP,2026-10-01 08:49:00,2026-10-01 09:01:00,12,15,SIMULATED_COA
TT-5115,17441,NDLS-GZB,NDLS-GZB-DN-FAST,DOWN,2026-10-01 06:19:00,2026-10-01 06:30:00,11,15,SIMULATED_COA
TT-5116,17441,GZB-ALJN,GZB-ALJN-DN,DOWN,2026-10-01 06:32:00,2026-10-01 07:14:00,42,15,SIMULATED_COA
