track_id,section_id,track_name,direction,is_electrified,elementary_section_id,speed_limit_kmph
NDLS-GZB-UP-FAST,NDLS-GZB,NDLS-GZB UP Fast,UP,True,ES-NDLS-GZB-UP-F,110
NDLS-GZB-DN-FAST,NDLS-GZB,NDLS-GZB DOWN Fast,DOWN,True,ES-NDLS-GZB-DN-F,110
NDLS-GZB-UP-SLOW,NDLS-GZB,NDLS-GZB UP Slow,UP,True,ES-NDLS-GZB-UP-S,90
NDLS-GZB-DN-SLOW,NDLS-GZB,NDLS-GZB DOWN Slow,DOWN,True,ES-NDLS-GZB-DN-S,90
ANVT-GZB-UP,ANVT-GZB,ANVT-GZB UP Main,UP,True,ES-ANVT-GZB-UP,90
ANVT-GZB-DN,ANVT-GZB,ANVT-GZB DOWN Main,DOWN,True,ES-ANVT-GZB-DN,90
GZB-ALJN-UP,GZB-ALJN,GZB-ALJN UP Main,UP,True,ES-GZB-ALJN-UP,130
GZB-ALJN-DN,GZB-ALJN,GZB-ALJN DOWN Main,DOWN,True,ES-GZB-ALJN-DN,130
ALJN-TDL-UP,ALJN-TDL,ALJN-TDL UP Main,UP,True,ES-ALJN-TDL-UP,130
ALJN-TDL-DN,ALJN-TDL,ALJN-TDL DOWN Main,DOWN,True,ES-ALJN-TDL-DN,130
TDL-ETW-UP,TDL-ETW,TDL-ETW UP Main,UP,True,ES-TDL-ETW-UP,130
TDL-ETW-DN,TDL-ETW,TDL-ETW DOWN Main,DOWN,True,ES-TDL-ETW-DN,130
ETW-CNB-UP,ETW-CNB,ETW-CNB UP Main,UP,True,ES-ETW-CNB-UP,130
ETW-CNB-DN,ETW-CNB,ETW-CNB DOWN Main,DOWN,True,ES-ETW-CNB-DN,130
CNB-PRYJ-UP,CNB-PRYJ,CNB-PRYJ UP Main,UP,True,ES-CNB-PRYJ-UP,130
CNB-PRYJ-DN,CNB-PRYJ,CNB-PRYJ DOWN Main,DOWN,True,ES-CNB-PRYJ-DN,130
