train_number,train_name,train_type,priority_rank,speed_factor,headway_buffer_mins,max_speed_kmph
22436,Vande Bharat Express (NDLS-BSB),VANDE_BHARAT,1,1.15,15,130
22435,Vande Bharat Express (BSB-NDLS),VANDE_BHARAT,1,1.15,15,130
12302,Howrah Rajdhani Express,RAJDHANI,1,1.1,15,130
12301,New Delhi Rajdhani Express,RAJDHANI,1,1.1,15,130
12004,Lucknow Swarna Shatabdi,SHATABDI,1,1.05,12,130
12003,New Delhi Shatabdi Express,SHATABDI,1,1.05,12,130
12554,Vaishali Superfast Express,SUPERFAST,2,0.95,10,110
12553,New Delhi Vaishali Express,SUPERFAST,2,0.95,10,110
12418,Prayagraj Express,SUPERFAST,2,0.95,10,110
12417,New Delhi Prayagraj Express,SUPERFAST,2,0.95,10,110
12876,Neelachal Express,SUPERFAST,2,0.95,10,110
12875,Anand Vihar Neelachal Express,SUPERFAST,2,0.95,10,110
14218,Unchahar Express,EXPRESS,3,0.85,8,110
14217,Prayag Unchahar Express,EXPRESS,3,0.85,8,110
14006,Lichchavi Express,EXPRESS,3,0.85,8,110
14005,Anand Vihar Lichchavi Express,EXPRESS,3,0.85,8,110
19702,Express Express 001,EXPRESS,3,0.85,8,110
17493,Express Express 002,EXPRESS,3,0.85,8,110
15533,Rajdhani Express 003,RAJDHANI,1,1.1,15,130
17441,Vande_bharat Express 004,VANDE_BHARAT,1,1.15,15,130
FRT-0005,Container Freight Corridor Unit 005,FREIGHT,4,0.65,5,75
17434,Superfast Express 006,SUPERFAST,2,0.95,10,110
17896,Express Express 007,EXPRESS,3,0.85,8,110
FRT-0008,Container Freight Corridor Unit 008,FREIGHT,4,0.65,5,75
17463,Superfast Express 009,SUPERFAST,2,0.95,10,110
15296,Superfast Express 010,SUPERFAST,2,0.95,10,110
16541,Express Express 011,EXPRESS,3,0.85,8,110
15444,Rajdhani Express 012,RAJDHANI,1,1.1,15,130
15105,Express Express 013,EXPRESS,3,0.85,8,110
19395,Express Express 014,EXPRESS,3,0.85,8,110
16662,Rajdhani Express 015,RAJDHANI,1,1.1,15,130
